form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
biate130,fe,1.pl.incl.nfut.neg,fe maŋ meʔ,Σ maŋ meʔ,Σ+maŋ+meʔ,Σ m a ŋ m e ʔ,Σ + m a ŋ + m e ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate131,mu,1.sg.2.sg.nfut.neg,mu maŋ,Σ maŋ,Σ+maŋ,Σ m a ŋ,Σ + m a ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate132,mu,1.sg.2.pl.nfut.neg,mu maŋ,Σ maŋ,Σ+maŋ,Σ m a ŋ,Σ + m a ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate133,mu,1.pl.excl.2.sg.nfut.neg,mu maŋ uŋ,Σ maŋ uŋ,Σ+maŋ+uŋ,Σ m a ŋ u ŋ,Σ + m a ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate134,mu,1.pl.excl.2.pl.nfut.neg,mu maŋ uŋ,Σ maŋ uŋ,Σ+maŋ+uŋ,Σ m a ŋ u ŋ,Σ + m a ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate135,mu,1.sg.3.sg.nfut.neg,mu maŋ,Σ maŋ,Σ+maŋ,Σ m a ŋ,Σ + m a ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate136,mu,1.sg.3.pl.nfut.neg,mu maŋ,Σ maŋ,Σ+maŋ,Σ m a ŋ,Σ + m a ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate137,mu,1.pl.excl.3.sg.nfut.neg,mu maŋ uŋ,Σ maŋ uŋ,Σ+maŋ+uŋ,Σ m a ŋ u ŋ,Σ + m a ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate138,mu,1.pl.incl.3.sg.nfut.neg,mu maŋ meʔ,Σ maŋ meʔ,Σ+maŋ+meʔ,Σ m a ŋ m e ʔ,Σ + m a ŋ + m e ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate139,mu,1.pl.excl.3.pl.nfut.neg,mu maŋ uŋ,Σ maŋ uŋ,Σ+maŋ+uŋ,Σ m a ŋ u ŋ,Σ + m a ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate140,mu,1.pl.incl.3.pl.nfut.neg,mu maŋ meʔ,Σ maŋ meʔ,Σ+maŋ+meʔ,Σ m a ŋ m e ʔ,Σ + m a ŋ + m e ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate141,fe,2.sg.nfut.neg,fe mak tse,Σ mak tse,Σ+mak+tse,Σ m a k ts e,Σ + m a k + ts e,unspecified,Lalhminghlui2025Biate,nopage,biate
biate142,fe,2.pl.nfut.neg,fe mak tsei,Σ mak tsei,Σ+mak+tsei,Σ m a k ts ei,Σ + m a k + ts ei,unspecified,Lalhminghlui2025Biate,nopage,biate
biate143,mu,2.sg.1.sg.nfut.neg,ne mu mak tse,ne Σ mak tse,ne+Σ+mak+tse,n e Σ m a k ts e,n e + Σ + m a k + ts e,unspecified,Lalhminghlui2025Biate,nopage,biate
biate144,mu,2.sg.1.pl.excl.nfut.neg,ne mu mak tse,ne Σ mak tse,ne+Σ+mak+tse,n e Σ m a k ts e,n e + Σ + m a k + ts e,unspecified,Lalhminghlui2025Biate,nopage,biate
biate145,mu,2.pl.1.sg.nfut.neg,ne mu mak tsei u,ne Σ mak tsei u,ne+Σ+mak+tsei+u,n e Σ m a k ts ei u,n e + Σ + m a k + ts ei + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate146,mu,2.pl.1.pl.excl.nfut.neg,ne mu mak tsei u,ne Σ mak tsei u,ne+Σ+mak+tsei+u,n e Σ m a k ts ei u,n e + Σ + m a k + ts ei + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate147,mu,2.sg.3.sg.nfut.neg,mu mak tse,Σ mak tse,Σ+mak+tse,Σ m a k ts e,Σ + m a k + ts e,unspecified,Lalhminghlui2025Biate,nopage,biate
biate148,mu,2.sg.3.pl.nfut.neg,mu mak tse,Σ mak tse,Σ+mak+tse,Σ m a k ts e,Σ + m a k + ts e,unspecified,Lalhminghlui2025Biate,nopage,biate
biate149,mu,2.pl.3.sg.nfut.neg,mu mak tsei u,Σ mak tsei u,Σ+mak+tsei+u,Σ m a k ts ei u,Σ + m a k + ts ei + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate150,mu,2.pl.3.pl.nfut.neg,mu mak tsei u,Σ mak tsei u,Σ+mak+tsei+u,Σ m a k ts ei u,Σ + m a k + ts ei + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate151,fe,3.sg.nfut.neg,fe ŋai mak,Σ ŋai mak,Σ+ŋai+mak,Σ ŋ a i m a k,Σ + ŋ a i + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate152,fe,3.pl.nfut.neg,fe mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate153,mu,3.sg.1.sg.nfut.neg,ne mu mak,ne Σ mak,ne+Σ+mak,n e Σ m a k,n e + Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate154,mu,3.sg.1.pl.excl.nfut.neg,ne mu mak,ne Σ mak,ne+Σ+mak,n e Σ m a k,n e + Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate155,mu,3.sg.1.pl.incl.nfut.neg,ne mu mak,ne Σ mak,ne+Σ+mak,n e Σ m a k,n e + Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate156,mu,3.pl.1.sg.nfut.neg,ne mu mak,ne Σ mak,ne+Σ+mak,n e Σ m a k,n e + Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate157,mu,3.pl.1.pl.excl.nfut.neg,ne mu mak,ne Σ mak,ne+Σ+mak,n e Σ m a k,n e + Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate158,mu,3.pl.1.pl.incl.nfut.neg,ne mu mak,ne Σ mak,ne+Σ+mak,n e Σ m a k,n e + Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate159,mu,3.sg.2.sg.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate160,mu,3.sg.2.pl.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate161,mu,3.pl.2.sg.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate162,mu,3.pl.2.pl.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate163,mu,3.sg.3.sg.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate164,mu,3.sg.3.pl.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate165,mu,3.pl.3.sg.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
biate166,mu,3.pl.3.pl.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,Lalhminghlui2025Biate,nopage,biate
